orderID,year,offence_type,offence_group,gender,source,target,value,source1,target1
1,2014,Juveniles,04 Theft Offences,2 Female,All offenders,1 First time offenders,1267,All offenders,First time offenders
1,2014,Juveniles,10 Fraud offences,1 Male,All offenders,1 First time offenders,87,All offenders,First time offenders
1,2014,Juveniles,10 Fraud offences,2 Female,All offenders,1 First time offenders,44,All offenders,First time offenders
1,2014,Juveniles,01 Violence against the person,3 Unknown,All offenders,1 First time offenders,13,All offenders,First time offenders
1,2014,Adults,12 Summary motoring offences,2 Female,All offenders,1 First time offenders,5963,All offenders,First time offenders
1,2014,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,1 First time offenders,40,All offenders,First time offenders
1,2014,Juveniles,05 Criminal damage and arson,3 Unknown,All offenders,1 First time offenders,6,All offenders,First time offenders
1,2014,Adults,11 Summary offences excluding motoring,1 Male,All offenders,1 First time offenders,39177,All offenders,First time offenders
1,2014,Adults,08 Public order offences,3 Unknown,All offenders,1 First time offenders,21,All offenders,First time offenders
1,2014,Adults,05 Criminal damage and arson,1 Male,All offenders,1 First time offenders,528,All offenders,First time offenders
1,2014,Adults,12 Summary motoring offences,1 Male,All offenders,1 First time offenders,16547,All offenders,First time offenders
1,2014,Adults,06 Drug offences,2 Female,All offenders,1 First time offenders,2082,All offenders,First time offenders
1,2014,Juveniles,07 Possession of weapons,3 Unknown,All offenders,1 First time offenders,4,All offenders,First time offenders
1,2014,Juveniles,08 Public order offences,1 Male,All offenders,1 First time offenders,328,All offenders,First time offenders
1,2014,Juveniles,10 Fraud offences,3 Unknown,All offenders,1 First time offenders,1,All offenders,First time offenders
1,2014,Adults,03 Robbery,1 Male,All offenders,1 First time offenders,246,All offenders,First time offenders
1,2014,Juveniles,12 Summary motoring offences,1 Male,All offenders,1 First time offenders,235,All offenders,First time offenders
1,2014,Juveniles,09 Miscellaneous crimes against society,3 Unknown,All offenders,1 First time offenders,2,All offenders,First time offenders
1,2014,Adults,12 Summary motoring offences,3 Unknown,All offenders,1 First time offenders,121,All offenders,First time offenders
1,2014,Juveniles,05 Criminal damage and arson,1 Male,All offenders,1 First time offenders,411,All offenders,First time offenders
1,2014,Juveniles,12 Summary motoring offences,2 Female,All offenders,1 First time offenders,35,All offenders,First time offenders
1,2014,Juveniles,02 Sexual offences,1 Male,All offenders,1 First time offenders,526,All offenders,First time offenders
1,2014,Adults,10 Fraud offences,1 Male,All offenders,1 First time offenders,2136,All offenders,First time offenders
1,2014,Juveniles,06 Drug offences,2 Female,All offenders,1 First time offenders,315,All offenders,First time offenders
1,2014,Juveniles,01 Violence against the person,1 Male,All offenders,1 First time offenders,1166,All offenders,First time offenders
1,2014,Adults,05 Criminal damage and arson,3 Unknown,All offenders,1 First time offenders,7,All offenders,First time offenders
1,2014,Juveniles,06 Drug offences,1 Male,All offenders,1 First time offenders,2422,All offenders,First time offenders
1,2014,Adults,02 Sexual offences,3 Unknown,All offenders,1 First time offenders,14,All offenders,First time offenders
1,2014,Adults,06 Drug offences,3 Unknown,All offenders,1 First time offenders,84,All offenders,First time offenders
1,2014,Juveniles,01 Violence against the person,2 Female,All offenders,1 First time offenders,379,All offenders,First time offenders
