orderID,year,offence_type,offence_group,gender,source,target,value
1,2020,Juveniles,07 Possession of weapons,2 Female,All offenders,First time offenders,125
1,2017,Adults,03 Robbery,1 Male,All offenders,First time offenders,184
1,2019,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,1
1,2013,Juveniles,10 Fraud offences,3 Unknown,All offenders,First time offenders,2
1,2015,Adults,02 Sexual offences,3 Unknown,All offenders,First time offenders,21
1,2019,Adults,09 Miscellaneous crimes against society,2 Female,All offenders,First time offenders,719
1,2011,Adults,06 Drug offences,3 Unknown,All offenders,First time offenders,71
1,2017,Adults,05 Criminal damage and arson,3 Unknown,All offenders,First time offenders,3
1,2014,Juveniles,10 Fraud offences,3 Unknown,All offenders,First time offenders,1
1,2020,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,3
1,2012,Adults,06 Drug offences,3 Unknown,All offenders,First time offenders,49
1,2015,Adults,10 Fraud offences,2 Female,All offenders,First time offenders,1505
1,2011,Adults,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,189
1,2020,Juveniles,10 Fraud offences,1 Male,All offenders,First time offenders,29
1,2015,Juveniles,08 Public order offences,3 Unknown,All offenders,First time offenders,6
1,2013,Juveniles,05 Criminal damage and arson,2 Female,All offenders,First time offenders,138
1,2019,Juveniles,07 Possession of weapons,2 Female,All offenders,First time offenders,188
1,2017,Juveniles,02 Sexual offences,1 Male,All offenders,First time offenders,445
1,2018,Juveniles,07 Possession of weapons,2 Female,All offenders,First time offenders,152
1,2015,Juveniles,01 Violence against the person,2 Female,All offenders,First time offenders,402
1,2020,Adults,12 Summary motoring offences,1 Male,All offenders,First time offenders,16509
1,2017,Adults,03 Robbery,2 Female,All offenders,First time offenders,22
1,2017,Adults,08 Public order offences,1 Male,All offenders,First time offenders,1382
1,2013,Adults,02 Sexual offences,2 Female,All offenders,First time offenders,52
1,2017,Juveniles,08 Public order offences,3 Unknown,All offenders,First time offenders,1
1,2014,Adults,03 Robbery,1 Male,All offenders,First time offenders,247
1,2016,Juveniles,01 Violence against the person,2 Female,All offenders,First time offenders,391
1,2012,Adults,12 Summary motoring offences,3 Unknown,All offenders,First time offenders,143
1,2018,Juveniles,03 Robbery,3 Unknown,All offenders,First time offenders,2
1,2011,Adults,09 Miscellaneous crimes against society,3 Unknown,All offenders,First time offenders,64
1,2010,Adults,02 Sexual offences,2 Female,All offenders,First time offenders,42
1,2019,Adults,07 Possession of weapons,3 Unknown,All offenders,First time offenders,24
1,2016,Juveniles,08 Public order offences,3 Unknown,All offenders,First time offenders,5
1,2014,Juveniles,12 Summary motoring offences,1 Male,All offenders,First time offenders,232
